"","tablaPalabras"
"1","rihanna"
"2","hace"
"3","historia:es"
"4","la"
"5","primer"
"6","mujer"
"7","negra"
"8","al"
"9","frente"
"10","de"
"11","una"
"12","marca"
"13","de"
"14","lujoaãºn"
"15","no"
"16","sale"
"17","al"
"18","mercado"
"19","y"
"20","fenty"
"21","ya"
"22","es"
"23","considerada"
"24","por"
"25","los"
"26","crã­ticos"
"27","una"
"28","de"
"29","las"
"30","marcas"
"31","mã¡s"
"32","poderosas.rihanna"
"33","se"
"34","convierte"
"35","asã­"
"36","en"
"37","la"
"38","primera"
"39","mujer"
"40","negra"
"41","en"
"42","la"
"43","historia"
"44","al"
"45","frente"
"46","de"
"47","una"
"48","marca"
"49","de"
"50","lujo"
